  Configuration Zero
   x/H    y/H    z/H     C*
  0.10  -3.50   0.60 212.60
  0.10  -3.50   0.80 188.98
  1.00  -3.50   1.00  66.95
  1.00  -3.50   0.20  62.10
  1.00  -3.50   0.40 101.41
  1.00  -3.50   0.60 100.51
  1.00  -3.50   0.80 109.69
  1.25  -3.50   1.00  70.59
  1.25  -3.50   0.20  74.32
  1.25  -3.50   0.40 101.96
  1.25  -3.50   0.60 103.11
  1.25  -3.50   0.80 106.05
  1.50  -3.50   1.00  51.39
  1.50  -3.50   0.20  60.59
  1.50  -3.50   0.40  81.66
  1.50  -3.50   0.60  90.50
  1.50  -3.50   0.80  72.51
  1.70  -3.50   1.00  32.02
  1.70  -3.50   0.20  54.43
  1.70  -3.50   0.40  71.15
  1.70  -3.50   0.60  63.40
  1.70  -3.50   0.80  49.76
  1.90  -3.50   1.00  38.56
  1.90  -3.50   0.20  39.55
  1.90  -3.50   0.40  38.18
  1.90  -3.50   0.60  35.84
  1.90  -3.50   0.80  30.17
  0.30  -3.50   1.00 135.13
  0.30  -3.50   0.20 218.44
  0.30  -3.50   0.40 191.66
  0.30  -3.50   0.60 156.61
  0.30  -3.50   0.80 140.93
  0.50  -3.50   1.00  99.46
  0.50  -3.50   0.20 126.53
  0.50  -3.50   0.40 126.67
  0.50  -3.50   0.60 155.48
  0.50  -3.50   0.80 136.40
  0.75  -3.50   1.00  93.60
  0.75  -3.50   0.20 100.02
  0.75  -3.50   0.40 114.07
  0.75  -3.50   0.60 128.13
  0.75  -3.50   0.80 134.06
  0.10  -3.00   1.00 233.53
  0.10  -3.00   0.20 377.06
  0.10  -3.00   0.40 361.43
  0.10  -3.00   0.60 322.56
  0.10  -3.00   0.80 282.36
  1.00  -3.00   1.00 125.33
  1.00  -3.00   0.20 105.00
  1.00  -3.00   0.40 141.86
  1.00  -3.00   0.60 166.31
  1.00  -3.00   0.80 181.78
  1.25  -3.00   1.00 126.43
  1.25  -3.00   0.20 104.46
  1.25  -3.00   0.40 134.55
  1.25  -3.00   0.60 184.24
  1.25  -3.00   0.80 194.17
  1.50  -3.00   1.00 100.12
  1.50  -3.00   0.20  92.15
  1.50  -3.00   0.40 140.05
  1.50  -3.00   0.60 137.68
  1.50  -3.00   0.80 132.83
  1.70  -3.00   1.00  62.24
  1.70  -3.00   0.20  88.35
  1.70  -3.00   0.40 108.37
  1.70  -3.00   0.60 118.94
  1.70  -3.00   0.80  90.73
  1.90  -3.00   1.00  72.63
  1.90  -3.00   0.20  71.22
  1.90  -3.00   0.40  64.99
  1.90  -3.00   0.60  62.83
  1.90  -3.00   0.80  58.18
  0.30  -3.00   1.00 214.50
  0.30  -3.00   0.20 409.45
  0.30  -3.00   0.40 312.38
  0.30  -3.00   0.60 272.65
  0.30  -3.00   0.80 275.96
  0.50  -3.00   1.00 161.52
  0.50  -3.00   0.20 235.71
  0.50  -3.00   0.40 212.18
  0.50  -3.00   0.60 207.14
  0.50  -3.00   0.80 189.42
  0.75  -3.00   1.00 140.17
  0.75  -3.00   0.20 174.03
  0.75  -3.00   0.40 142.97
  0.75  -3.00   0.60 198.59
  0.75  -3.00   0.80 179.11
  0.10  -2.50   1.00 274.15
  0.10  -2.50   0.20 479.14
  0.10  -2.50   0.40 451.52
  0.10  -2.50   0.60 403.58
  0.10  -2.50   0.80 377.74
  1.00  -2.50   1.00 156.05
  1.00  -2.50   0.20 170.53
  1.00  -2.50   0.40 206.72
  1.00  -2.50   0.60 228.42
  1.00  -2.50   0.80 241.78
  1.25  -2.50   1.00 157.23
  1.25  -2.50   0.20 164.09
  1.25  -2.50   0.40 194.58
  1.25  -2.50   0.60 234.37
  1.25  -2.50   0.80 217.16
  1.50  -2.50   1.00 119.29
  1.50  -2.50   0.20 145.32
  1.50  -2.50   0.40 196.02
  1.50  -2.50   0.60 224.38
  1.50  -2.50   0.80 188.03
  1.70  -2.50   1.00 114.43
  1.70  -2.50   0.20 126.37
  1.70  -2.50   0.40 158.37
  1.70  -2.50   0.60 179.11
  1.70  -2.50   0.80 149.08
  1.90  -2.50   1.00  93.82
  1.90  -2.50   0.20 104.10
  1.90  -2.50   0.40 113.69
  1.90  -2.50   0.60 108.53
  1.90  -2.50   0.80  92.02
  0.30  -2.50   1.00 249.89
  0.30  -2.50   0.20 538.61
  0.30  -2.50   0.40 435.05
  0.30  -2.50   0.60 372.28
  0.30  -2.50   0.80 345.50
  0.50  -2.50   1.00 195.48
  0.50  -2.50   0.20 332.20
  0.50  -2.50   0.40 292.03
  0.50  -2.50   0.60 285.36
  0.50  -2.50   0.80 316.25
  0.75  -2.50   1.00 193.78
  0.75  -2.50   0.20 237.41
  0.75  -2.50   0.40 224.93
  0.75  -2.50   0.60 266.62
  0.75  -2.50   0.80 265.98
  0.10  -2.00   1.00 225.56
  0.10  -2.00   0.20 549.52
  0.10  -2.00   0.40 492.28
  0.10  -2.00   0.60 393.54
  0.10  -2.00   0.80 378.41
  1.00  -2.00   1.00 164.23
  1.00  -2.00   0.20 190.91
  1.00  -2.00   0.40 231.48
  1.00  -2.00   0.60 255.17
  1.00  -2.00   0.80 262.08
  1.25  -2.00   1.00 162.92
  1.25  -2.00   0.20 191.98
  1.25  -2.00   0.40 220.73
  1.25  -2.00   0.60 238.23
  1.25  -2.00   0.80 244.13
  1.50  -2.00   1.00 133.16
  1.50  -2.00   0.20 173.24
  1.50  -2.00   0.40 209.53
  1.50  -2.00   0.60 218.58
  1.50  -2.00   0.80 208.21
  1.70  -2.00   1.00 121.13
  1.70  -2.00   0.20 149.12
  1.70  -2.00   0.40 180.11
  1.70  -2.00   0.60 180.88
  1.70  -2.00   0.80 169.46
  1.90  -2.00   1.00  98.69
  1.90  -2.00   0.20 121.03
  1.90  -2.00   0.40 130.84
  1.90  -2.00   0.60 133.02
  1.90  -2.00   0.80 125.60
  0.30  -2.00   1.00 234.88
  0.30  -2.00   0.20 555.64
  0.30  -2.00   0.40 417.05
  0.30  -2.00   0.60 381.24
  0.30  -2.00   0.80 365.76
  0.50  -2.00   1.00 198.85
  0.50  -2.00   0.20 349.95
  0.50  -2.00   0.40 289.01
  0.50  -2.00   0.60 333.86
  0.50  -2.00   0.80 311.74
  0.75  -2.00   1.00 187.45
  0.75  -2.00   0.20 263.34
  0.75  -2.00   0.40 249.85
  0.75  -2.00   0.60 287.69
  0.75  -2.00   0.80 296.01
  0.10  -1.50   1.00 152.65
  0.10  -1.50   0.20 538.16
  0.10  -1.50   0.40 441.87
  0.10  -1.50   0.60 412.57
  0.10  -1.50   0.80 373.81
  1.00  -1.50   1.00 152.30
  1.00  -1.50   0.20 175.89
  1.00  -1.50   0.40 215.91
  1.00  -1.50   0.60 274.98
  1.00  -1.50   0.80 271.21
  1.25  -1.50   1.00 149.48
  1.25  -1.50   0.20 176.96
  1.25  -1.50   0.40 213.70
  1.25  -1.50   0.60 243.96
  1.25  -1.50   0.80 240.69
  1.50  -1.50   1.00 125.12
  1.50  -1.50   0.20 163.91
  1.50  -1.50   0.40 199.04
  1.50  -1.50   0.60 216.42
  1.50  -1.50   0.80 189.80
  1.70  -1.50   1.00 112.06
  1.70  -1.50   0.20 142.40
  1.70  -1.50   0.40 160.91
  1.70  -1.50   0.60 184.92
  1.70  -1.50   0.80 171.60
  1.90  -1.50   1.00  95.32
  1.90  -1.50   0.20 114.61
  1.90  -1.50   0.40 122.27
  1.90  -1.50   0.60 127.97
  1.90  -1.50   0.80 117.82
  0.30  -1.50   1.00 189.83
  0.30  -1.50   0.20 523.54
  0.30  -1.50   0.40 387.20
  0.30  -1.50   0.60 350.80
  0.30  -1.50   0.80 351.86
  0.50  -1.50   1.00 175.28
  0.50  -1.50   0.20 308.05
  0.50  -1.50   0.40 277.31
  0.50  -1.50   0.60 321.61
  0.50  -1.50   0.80 325.08
  0.75  -1.50   1.00 176.35
  0.75  -1.50   0.20 219.69
  0.75  -1.50   0.40 255.81
  0.75  -1.50   0.60 293.73
  0.75  -1.50   0.80 264.91
  0.10  -1.00   1.00 193.30
  0.10  -1.00   0.20 543.18
  0.10  -1.00   0.40 471.90
  0.10  -1.00   0.60 391.41
  0.10  -1.00   0.80 371.07
  1.00  -1.00   1.00 168.15
  1.00  -1.00   0.20 176.96
  1.00  -1.00   0.40 202.40
  1.00  -1.00   0.60 267.98
  1.00  -1.00   0.80 262.18
  1.25  -1.00   1.00 157.50
  1.25  -1.00   0.20 168.38
  1.25  -1.00   0.40 227.73
  1.25  -1.00   0.60 241.15
  1.25  -1.00   0.80 218.68
  1.50  -1.00   1.00 131.96
  1.50  -1.00   0.20 162.52
  1.50  -1.00   0.40 199.62
  1.50  -1.00   0.60 238.35
  1.50  -1.00   0.80 184.57
  1.70  -1.00   1.00 114.64
  1.70  -1.00   0.20 150.24
  1.70  -1.00   0.40 187.75
  1.70  -1.00   0.60 183.92
  1.70  -1.00   0.80 168.38
  1.90  -1.00   1.00  95.37
  1.90  -1.00   0.20 110.10
  1.90  -1.00   0.40 113.69
  1.90  -1.00   0.60 125.00
  1.90  -1.00   0.80 117.63
  0.30  -1.00   1.00 206.99
  0.30  -1.00   0.20 546.49
  0.30  -1.00   0.40 420.31
  0.30  -1.00   0.60 362.29
  0.30  -1.00   0.80 346.81
  0.50  -1.00   1.00 180.86
  0.50  -1.00   0.20 311.36
  0.50  -1.00   0.40 305.36
  0.50  -1.00   0.60 278.89
  0.50  -1.00   0.80 330.24
  0.75  -1.00   1.00 169.86
  0.75  -1.00   0.20 234.16
  0.75  -1.00   0.40 250.20
  0.75  -1.00   0.60 274.35
  0.75  -1.00   0.80 290.65
  0.10  -0.50   1.00 167.29
  0.10  -0.50   0.20 510.83
  0.10  -0.50   0.40 434.36
  0.10  -0.50   0.60 393.40
  0.10  -0.50   0.80 364.77
  1.00  -0.50   1.00 162.42
  1.00  -0.50   0.20 197.34
  1.00  -0.50   0.40 221.79
  1.00  -0.50   0.60 264.99
  1.00  -0.50   0.80 240.16
  1.25  -0.50   1.00 156.67
  1.25  -0.50   0.20 182.32
  1.25  -0.50   0.40 221.21
  1.25  -0.50   0.60 238.29
  1.25  -0.50   0.80 219.24
  1.50  -0.50   1.00 121.23
  1.50  -0.50   0.20 161.29
  1.50  -0.50   0.40 194.01
  1.50  -0.50   0.60 230.74
  1.50  -0.50   0.80 193.93
  1.70  -0.50   1.00 120.59
  1.70  -0.50   0.20 151.79
  1.70  -0.50   0.40 173.76
  1.70  -0.50   0.60 181.97
  1.70  -0.50   0.80 164.09
  1.90  -0.50   1.00  88.53
  1.90  -0.50   0.20 113.32
  1.90  -0.50   0.40 122.27
  1.90  -0.50   0.60 117.21
  1.90  -0.50   0.80 116.72
  0.30  -0.50   1.00 193.05
  0.30  -0.50   0.20 472.63
  0.30  -0.50   0.40 398.65
  0.30  -0.50   0.60 322.63
  0.30  -0.50   0.80 336.62
  0.50  -0.50   1.00 181.45
  0.50  -0.50   0.20 303.76
  0.50  -0.50   0.40 272.42
  0.50  -0.50   0.60 292.17
  0.50  -0.50   0.80 306.40
  0.75  -0.50   1.00 183.77
  0.75  -0.50   0.20 223.14
  0.75  -0.50   0.40 247.03
  0.75  -0.50   0.60 285.26
  0.75  -0.50   0.80 270.27
  0.10   0.00   1.00 167.16
  0.10   0.00   0.20 482.53
  0.10   0.00   0.40 420.42
  0.10   0.00   0.60 378.70
  0.10   0.00   0.80 349.44
  1.00   0.00   1.00 154.30
  1.00   0.00   0.20 195.19
  1.00   0.00   0.40 229.08
  1.00   0.00   0.60 250.07
  1.00   0.00   0.80 236.52
  1.25   0.00   1.00 153.37
  1.25   0.00   0.20 166.24
  1.25   0.00   0.40 218.97
  1.25   0.00   0.60 234.53
  1.25   0.00   0.80 218.71
  1.50   0.00   1.00 123.06
  1.50   0.00   0.20 155.36
  1.50   0.00   0.40 197.85
  1.50   0.00   0.60 209.50
  1.50   0.00   0.80 193.38
  1.70  -0.00   1.00 114.13
  1.70   0.00   0.20 147.19
  1.70   0.00   0.40 175.72
  1.70   0.00   0.60 184.43
  1.70   0.00   0.80 166.24
  1.90   0.00   1.00  86.71
  1.90   0.00   0.20 104.34
  1.90   0.00   0.40 115.83
  1.90   0.00   0.60 117.08
  1.90   0.00   0.80 112.18
  0.30   0.00   1.00 203.78
  0.30   0.00   0.20 488.25
  0.30   0.00   0.40 374.98
  0.30   0.00   0.60 313.47
  0.30   0.00   0.80 335.01
  0.50   0.00   1.00 167.91
  0.50   0.00   0.20 276.70
  0.50   0.00   0.40 263.21
  0.50   0.00   0.60 265.53
  0.50   0.00   0.80 299.81
  0.75   0.00   1.00 178.59
  0.75   0.00   0.20 216.24
  0.75   0.00   0.40 231.96
  0.75   0.00   0.60 247.44
  0.75   0.00   0.80 274.56
  0.10   0.50   1.00 157.13
  0.10   0.50   0.20 487.01
  0.10   0.50   0.40 478.33
  0.10   0.50   0.60 394.74
  0.10   0.50   0.80 379.67
  1.00   0.50   1.00 166.30
  1.00   0.50   0.20 185.54
  1.00   0.50   0.40 230.89
  1.00   0.50   0.60 248.95
  1.00   0.50   0.80 253.98
  1.25   0.50   1.00 156.50
  1.25   0.50   0.20 173.75
  1.25   0.50   0.40 213.88
  1.25   0.50   0.60 237.74
  1.25   0.50   0.80 237.94
  1.50   0.50   1.00 123.94
  1.50   0.50   0.20 153.51
  1.50   0.50   0.40 181.54
  1.50   0.50   0.60 207.65
  1.50   0.50   0.80 190.67
  1.70   0.50   1.00 115.04
  1.70   0.50   0.20 132.65
  1.70   0.50   0.40 174.49
  1.70   0.50   0.60 180.07
  1.70   0.50   0.80 166.24
  1.90   0.50   1.00  88.63
  1.90   0.50   0.20 101.00
  1.90   0.50   0.40 110.47
  1.90   0.50   0.60 112.88
  1.90   0.50   0.80 107.88
  0.30   0.50   1.00 211.28
  0.30   0.50   0.20 499.02
  0.30   0.50   0.40 363.66
  0.30   0.50   0.60 338.18
  0.30   0.50   0.80 345.07
  0.50   0.50   1.00 201.57
  0.50   0.50   0.20 282.10
  0.50   0.50   0.40 264.27
  0.50   0.50   0.60 273.13
  0.50   0.50   0.80 279.69
  0.75   0.50   1.00 177.57
  0.75   0.50   0.20 202.49
  0.75   0.50   0.40 228.75
  0.75   0.50   0.60 253.95
  0.75   0.50   0.80 276.70
  0.10   1.00   1.00 162.81
  0.10   1.00   0.20 545.00
  0.10   1.00   0.40 439.73
  0.10   1.00   0.60 391.45
  0.10   1.00   0.80 370.15
  1.00   1.00   1.00 157.39
  1.00   1.00   0.20 188.76
  1.00   1.00   0.40 240.63
  1.00   1.00   0.60 233.21
  1.00   1.00   0.80 229.08
  1.25   1.00   1.00 146.77
  1.25   1.00   0.20 175.89
  1.25   1.00   0.40 212.53
  1.25   1.00   0.60 271.21
  1.25   1.00   0.80 242.41
  1.50   1.00   1.00 121.51
  1.50   1.00   0.20 149.06
  1.50   1.00   0.40 202.26
  1.50   1.00   0.60 210.61
  1.50   1.00   0.80 186.69
  1.70   1.00   1.00 111.72
  1.70   1.00   0.20 133.14
  1.70   1.00   0.40 181.49
  1.70   1.00   0.60 172.17
  1.70   1.00   0.80 158.73
  1.90   1.00   1.00  85.03
  1.90   1.00   0.20  96.64
  1.90   1.00   0.40 114.76
  1.90   1.00   0.60 117.07
  1.90   1.00   0.80 102.59
  0.30   1.00   1.00 219.86
  0.30   1.00   0.20 446.76
  0.30   1.00   0.40 375.48
  0.30   1.00   0.60 338.54
  0.30   1.00   0.80 363.32
  0.50   1.00   1.00 176.37
  0.50   1.00   0.20 263.02
  0.50   1.00   0.40 254.58
  0.50   1.00   0.60 244.93
  0.50   1.00   0.80 316.68
  0.75   1.00   1.00 193.47
  0.75   1.00   0.20 209.96
  0.75   1.00   0.40 253.64
  0.75   1.00   0.60 286.51
  0.75   1.00   0.80 283.14
  0.10   1.50   1.00 151.27
  0.10   1.50   0.20 519.16
  0.10   1.50   0.40 471.90
  0.10   1.50   0.60 376.71
  0.10   1.50   0.80 352.46
  1.00   1.50   1.00 144.93
  1.00   1.50   0.20 189.83
  1.00   1.50   0.40 260.40
  1.00   1.50   0.60 270.48
  1.00   1.50   0.80 251.71
  1.25   1.50   1.00 145.24
  1.25   1.50   0.20 176.96
  1.25   1.50   0.40 219.39
  1.25   1.50   0.60 254.41
  1.25   1.50   0.80 235.38
  1.50   1.50   1.00 118.52
  1.50   1.50   0.20 148.42
  1.50   1.50   0.40 197.89
  1.50   1.50   0.60 218.89
  1.50   1.50   0.80 186.50
  1.70   1.50   1.00 104.69
  1.70   1.50   0.20 144.58
  1.70   1.50   0.40 164.20
  1.70   1.50   0.60 174.00
  1.70   1.50   0.80 163.02
  1.90   1.50   1.00  82.26
  1.90   1.50   0.20  92.96
  1.90   1.50   0.40 109.39
  1.90   1.50   0.60 105.85
  1.90   1.50   0.80  96.63
  0.30   1.50   1.00 172.67
  0.30   1.50   0.20 481.32
  0.30   1.50   0.40 385.21
  0.30   1.50   0.60 354.89
  0.30   1.50   0.80 369.26
  0.50   1.50   1.00 172.23
  0.50   1.50   0.20 271.79
  0.50   1.50   0.40 254.93
  0.50   1.50   0.60 287.13
  0.50   1.50   0.80 320.68
  0.75   1.50   1.00 177.41
  0.75   1.50   0.20 219.90
  0.75   1.50   0.40 244.41
  0.75   1.50   0.60 286.50
  0.75   1.50   0.80 297.08
  0.10   2.00   1.00 174.80
  0.10   2.00   0.20 523.70
  0.10   2.00   0.40 445.09
  0.10   2.00   0.60 405.32
  0.10   2.00   0.80 352.34
  1.00   2.00   1.00 146.39
  1.00   2.00   0.20 195.19
  1.00   2.00   0.40 233.58
  1.00   2.00   0.60 242.99
  1.00   2.00   0.80 241.30
  1.25   2.00   1.00 133.61
  1.25   2.00   0.20 170.53
  1.25   2.00   0.40 215.34
  1.25   2.00   0.60 227.67
  1.25   2.00   0.80 219.23
  1.50   2.00   1.00 112.06
  1.50   2.00   0.20 152.66
  1.50   2.00   0.40 191.38
  1.50   2.00   0.60 202.55
  1.50   2.00   0.80 178.97
  1.70   2.00   1.00 103.04
  1.70   2.00   0.20 133.14
  1.70   2.00   0.40 172.16
  1.70   2.00   0.60 167.03
  1.70   2.00   0.80 157.66
  1.90   2.00   1.00  78.01
  1.90   2.00   0.20  95.27
  1.90   2.00   0.40 108.32
  1.90   2.00   0.60 103.01
  1.90   2.00   0.80  99.45
  0.30   2.00   1.00 185.54
  0.30   2.00   0.20 456.49
  0.30   2.00   0.40 389.35
  0.30   2.00   0.60 348.01
  0.30   2.00   0.80 332.38
  0.50   2.00   1.00 167.49
  0.50   2.00   0.20 305.64
  0.50   2.00   0.40 302.24
  0.50   2.00   0.60 322.03
  0.50   2.00   0.80 315.30
  0.75   2.00   1.00 168.48
  0.75   2.00   0.20 218.35
  0.75   2.00   0.40 229.19
  0.75   2.00   0.60 277.24
  0.75   2.00   0.80 275.63
  0.10   2.50   1.00 150.95
  0.10   2.50   0.20 465.66
  0.10   2.50   0.40 392.54
  0.10   2.50   0.60 363.48
  0.10   2.50   0.80 299.81
  1.00   2.50   1.00 146.06
  1.00   2.50   0.20 151.22
  1.00   2.50   0.40 185.81
  1.00   2.50   0.60 182.44
  1.00   2.50   0.80 191.73
  1.25   2.50   1.00 107.45
  1.25   2.50   0.20 138.35
  1.25   2.50   0.40 173.15
  1.25   2.50   0.60 167.69
  1.25   2.50   0.80 181.20
  1.50   2.50   1.00  98.63
  1.50   2.50   0.20 129.61
  1.50   2.50   0.40 166.17
  1.50   2.50   0.60 171.42
  1.50   2.50   0.80 152.18
  1.70   2.50   1.00  89.34
  1.70   2.50   0.20 113.71
  1.70   2.50   0.40 141.78
  1.70   2.50   0.60 145.72
  1.70   2.50   0.80 144.79
  1.90   2.50   1.00  78.66
  1.90   2.50   0.20  90.26
  1.90   2.50   0.40 105.11
  1.90   2.50   0.60 103.66
  1.90   2.50   0.80  95.24
  0.30   2.50   1.00 179.11
  0.30   2.50   0.20 460.79
  0.30   2.50   0.40 337.15
  0.30   2.50   0.60 249.83
  0.30   2.50   0.80 217.94
  0.50   2.50   1.00 159.82
  0.50   2.50   0.20 321.91
  0.50   2.50   0.40 282.93
  0.50   2.50   0.60 265.95
  0.50   2.50   0.80 239.28
  0.75   2.50   1.00 136.03
  0.75   2.50   0.20 180.30
  0.75   2.50   0.40 171.65
  0.75   2.50   0.60 189.31
  0.75   2.50   0.80 211.28
  0.10   3.00   1.00 183.76
  0.10   3.00   0.20 346.28
  0.10   3.00   0.40 271.34
  0.10   3.00   0.60 228.03
  0.10   3.00   0.80 216.80
  1.00   3.00   1.00 106.45
  1.00   3.00   0.20  92.99
  1.00   3.00   0.40 107.87
  1.00   3.00   0.60 145.60
  1.00   3.00   0.80 112.55
  1.25   3.00   1.00  85.33
  1.25   3.00   0.20  90.41
  1.25   3.00   0.40 110.14
  1.25   3.00   0.60 110.61
  1.25   3.00   0.80 139.02
  1.50   3.00   1.00  73.81
  1.50   3.00   0.20  98.50
  1.50   3.00   0.40 123.96
  1.50   3.00   0.60  99.89
  1.50   3.00   0.80  97.05
  1.70   3.00   1.00  86.74
  1.70   3.00   0.20  78.79
  1.70   3.00   0.40  91.62
  1.70   3.00   0.60  91.04
  1.70   3.00   0.80 115.83
  1.90   3.00   1.00  59.00
  1.90   3.00   0.20  69.40
  1.90   3.00   0.40  88.70
  1.90   3.00   0.60  94.15
  1.90   3.00   0.80  79.85
  0.30   3.00   1.00 146.93
  0.30   3.00   0.20 321.25
  0.30   3.00   0.40 200.66
  0.30   3.00   0.60 169.75
  0.30   3.00   0.80 184.26
  0.50   3.00   1.00 121.98
  0.50   3.00   0.20 158.90
  0.50   3.00   0.40 136.93
  0.50   3.00   0.60 142.96
  0.50   3.00   0.80 136.80
  0.75   3.00   1.00 100.03
  0.75   3.00   0.20 104.46
  0.75   3.00   0.40 109.25
  0.75   3.00   0.60 122.81
  0.75   3.00   0.80 121.19
  0.10   3.50   1.00 129.63
  0.10   3.50   0.20 181.40
  0.10   3.50   0.40 127.63
  0.10   3.50   0.60 115.69
  0.10   3.50   0.80 118.50
  1.00   3.50   1.00  66.41
  1.00   3.50   0.20  61.88
  1.00   3.50   0.40  76.69
  1.00   3.50   0.60  77.20
  1.00   3.50   0.80  75.45
  1.25   3.50   1.00  52.45
  1.25   3.50   0.20  64.78
  1.25   3.50   0.40  74.39
  1.25   3.50   0.60  90.44
  1.25   3.50   0.80  78.67
  1.50   3.50   1.00  50.72
  1.50   3.50   0.20  59.22
  1.50   3.50   0.40  78.53
  1.50   3.50   0.60  83.15
  1.50   3.50   0.80  65.45
  1.70   3.50   1.00  48.71
  1.70   3.50   0.20  48.72
  1.70   3.50   0.40  59.44
  1.70   3.50   0.60  61.45
  1.70   3.50   0.80  64.46
  1.90   3.50   1.00  33.77
  1.90   3.50   0.20  42.87
  1.90   3.50   0.40  50.94
  1.90   3.50   0.60  49.83
