  Configuration Full
  Location of trees (y/H): -4.60 -3.90 -3.20 -2.50 -1.80 -1.10 -0.40  0.40  1.10  1.80  2.50  3.20  3.90  4.60
   x/H    y/H    z/H     C*
  1.00  -1.50   0.60 289.57
  1.00  -1.50   0.80 315.31
  1.25  -1.50   1.00 174.90
  1.25  -1.50   0.20 191.02
  1.25  -1.50   0.40 241.31
  1.25  -1.50   0.60 251.21
  1.25  -1.50   0.80 264.91
  0.75  -1.50   1.00 234.88
  0.75  -1.50   0.20 213.02
  0.75  -1.50   0.40 240.24
  0.75  -1.50   0.60 260.93
  0.75  -1.50   0.80 337.84
  0.10  -1.40   0.20 866.83
  0.10  -1.40   0.40 692.36
  0.10  -1.40   0.60 553.23
  0.10  -1.40   0.80 539.41
  0.10  -1.40   1.00 373.51
  0.30  -1.40   0.20 825.77
  0.30  -1.40   0.40 518.27
  0.30  -1.40   0.60 438.24
  0.30  -1.40   0.80 482.04
  0.30  -1.40   1.00 316.34
  0.50  -1.40   0.20 493.49
  0.50  -1.40   0.40 302.46
  0.50  -1.40   0.60 322.32
  0.50  -1.40   0.80 377.71
  0.50  -1.40   1.00 273.98
  0.75  -1.40   0.20 204.94
  0.75  -1.40   0.40 254.72
  0.75  -1.40   0.60 253.97
  0.75  -1.40   0.80 363.20
  0.75  -1.40   1.00 232.20
  1.00  -1.40   0.20 198.26
  1.00  -1.40   0.40 272.29
  1.00  -1.40   0.60 285.99
  1.00  -1.40   0.80 323.95
  1.00  -1.40   1.00 208.22
  1.25  -1.40   0.20 193.38
  1.25  -1.40   0.40 290.83
  1.25  -1.40   0.60 288.59
  1.25  -1.40   0.80 285.77
  1.25  -1.40   1.00 183.69
  1.50  -1.40   0.20 171.34
  1.50  -1.40   0.40 220.55
  1.50  -1.40   0.60 265.32
  1.50  -1.40   0.80 238.48
  1.50  -1.40   1.00 168.17
  1.70  -1.40   0.20 146.46
  1.70  -1.40   0.40 179.46
  1.70  -1.40   0.60 231.12
  1.70  -1.40   0.80 202.15
  1.70  -1.40   1.00 144.62
  1.90  -1.40   0.20 126.16
  1.90  -1.40   0.40 148.44
  1.90  -1.40   0.60 149.28
  1.90  -1.40   0.80 136.67
  1.90  -1.40   1.00 116.90
  1.00  -1.25   1.00 183.02
  1.00  -1.25   0.20 185.14
  1.00  -1.25   0.40 254.16
  1.00  -1.25   0.60 261.69
  1.00  -1.25   0.80 345.35
  1.25  -1.25   1.00 177.70
  1.25  -1.25   0.20 187.82
  1.25  -1.25   0.40 289.09
  1.25  -1.25   0.60 301.71
  1.25  -1.25   0.80 276.70
  0.75  -1.25   1.00 210.21
  0.75  -1.25   0.20 211.70
  0.75  -1.25   0.40 209.14
  0.75  -1.25   0.60 263.84
  0.75  -1.25   0.80 337.84
  1.00  -1.00   1.00 188.60
  1.00  -1.00   0.20 186.41
  1.00  -1.00   0.40 218.50
  1.00  -1.00   0.60 198.41
  1.00  -1.00   0.80 269.20
  1.25  -1.00   1.00 173.60
  1.25  -1.00   0.20 161.14
  1.25  -1.00   0.40 286.36
  1.25  -1.00   0.60 288.38
  1.25  -1.00   0.80 293.87
  0.75  -1.00   1.00 206.99
  0.75  -1.00   0.20 146.78
  0.75  -1.00   0.40 204.85
  0.75  -1.00   0.60 247.21
  0.75  -1.00   0.80 273.49
  0.10  -0.75   0.20 582.89
  0.10  -0.75   0.40 463.07
  0.10  -0.75   0.60 432.00
  0.10  -0.75   0.80 392.91
  0.10  -0.75   1.00 282.97
  0.30  -0.75   0.20 571.08
  0.30  -0.75   0.40 363.30
  0.30  -0.75   0.60 293.18
  0.30  -0.75   0.80 307.79
  0.30  -0.75   1.00 216.44
  0.50  -0.75   0.20 430.61
  0.50  -0.75   0.40 201.50
  0.50  -0.75   0.60 223.60
  0.50  -0.75   0.80 252.50
  0.50  -0.75   1.00 209.14
  1.50  -0.75   0.20 142.30
  1.50  -0.75   0.40 193.60
  1.50  -0.75   0.60 193.07
  1.50  -0.75   0.80 192.20
  1.50  -0.75   1.00 136.83
  1.70  -0.75   0.20 148.57
  1.70  -0.75   0.40 168.98
  1.70  -0.75   0.60 172.09
  1.70  -0.75   0.80 143.04
  1.70  -0.75   1.00  94.26
  1.90  -0.75   0.20 119.96
  1.90  -0.75   0.40 111.43
  1.90  -0.75   0.60 116.11
  1.90  -0.75   0.80 102.88
  1.90  -0.75   1.00  88.07
  1.00  -0.75   1.00 131.34
  1.00  -0.75   0.20 156.94
  1.00  -0.75   0.40 174.83
  1.00  -0.75   0.60 190.91
  1.00  -0.75   0.80 178.03
  1.25  -0.75   1.00 159.89
  1.25  -0.75   0.20 133.40
  1.25  -0.75   0.40 225.86
  1.25  -0.75   0.60 271.32
  1.25  -0.75   0.80 229.52
  0.75  -0.75   1.00 198.41
  0.75  -0.75   0.20 119.52
  0.75  -0.75   0.40 163.02
  0.75  -0.75   0.60 165.58
  0.75  -0.75   0.80 219.86
  1.00  -0.50   1.00 100.36
  1.00  -0.50   0.20 106.24
  1.00  -0.50   0.40 133.82
  1.00  -0.50   0.60 151.22
  1.00  -0.50   0.80 158.73
  1.25  -0.50   1.00 103.15
  1.25  -0.50   0.20 105.22
  1.25  -0.50   0.40 161.95
  1.25  -0.50   0.60 173.13
  1.25  -0.50   0.80 152.83
  0.75  -0.50   1.00 144.79
  0.75  -0.50   0.20 105.87
  0.75  -0.50   0.40 119.05
  0.75  -0.50   0.60 149.19
  0.75  -0.50   0.80 175.89
  1.00  -0.25   1.00  99.40
  1.00  -0.25   0.20  95.43
  1.00  -0.25   0.40 117.77
  1.00  -0.25   0.60 128.70
  1.00  -0.25   0.80 135.13
  1.25  -0.25   1.00  85.13
  1.25  -0.25   0.20  82.60
  1.25  -0.25   0.40 117.25
  1.25  -0.25   0.60 131.16
  1.25  -0.25   0.80 123.73
  0.75  -0.25   1.00 110.47
  0.75  -0.25   0.20 129.00
  0.75  -0.25   0.40 104.68
  0.75  -0.25   0.60 130.34
  0.75  -0.25   0.80 145.86
  0.10   0.00   0.20 492.79
  0.10   0.00   0.40 389.37
  0.10   0.00   0.60 328.59
  0.10   0.00   0.80 332.71
  0.10   0.00   1.00 211.12
  0.30   0.00   0.20 381.19
  0.30   0.00   0.40 257.97
  0.30   0.00   0.60 243.58
  0.30   0.00   0.80 237.35
  0.30   0.00   1.00 145.93
  0.50   0.00   0.20 291.51
  0.50   0.00   0.40 168.18
  0.50   0.00   0.60 165.41
  0.50   0.00   0.80 179.77
  0.50   0.00   1.00 151.24
  1.50   0.00   0.20  79.08
  1.50   0.00   0.40  94.50
  1.50   0.00   0.60 109.16
  1.50   0.00   0.80 102.47
  1.50   0.00   1.00  77.59
  1.70   0.00   0.20  69.20
  1.70   0.00   0.40  78.83
  1.70   0.00   0.60  80.49
  1.70   0.00   0.80  89.04
  1.70   0.00   1.00  70.33
  1.90   0.00   0.20  56.80
  1.90   0.00   0.40  65.20
  1.90   0.00   0.60  66.13
  1.90   0.00   0.80  70.96
  1.90   0.00   1.00  62.09
  1.00   0.00   1.00 103.43
  1.00   0.00   0.20 101.64
  1.00   0.00   0.40 129.77
  1.00   0.00   0.60 136.21
  1.00   0.00   0.80 142.64
  1.25  -0.00   1.00  87.44
  1.25   0.00   0.20 106.61
  1.25   0.00   0.40 111.54
  1.25  -0.00   0.60 125.55
  1.25   0.00   0.80 131.95
  0.75   0.00   1.00 119.05
  0.75   0.00   0.20 127.82
  0.75   0.00   0.40 119.05
  0.75   0.00   0.60 115.32
  0.75   0.00   0.80 148.00
  1.00   0.25   1.00 115.56
  1.00   0.25   0.20 118.54
  1.00   0.25   0.40 151.45
  1.00   0.25   0.60 166.24
  1.00   0.25   0.80 173.75
  1.25   0.25   1.00  92.18
  1.25   0.25   0.20 101.27
  1.25   0.25   0.40 136.58
  1.25   0.25   0.60 126.30
  1.25   0.25   0.80 142.03
  0.75   0.25   1.00 119.05
  0.75   0.25   0.20 122.01
  0.75   0.25   0.40 130.84
  0.75   0.25   0.60 152.77
  0.75   0.25   0.80 183.40
  1.00   0.50   1.00 143.26
  1.00   0.50   0.20 137.89
  1.00   0.50   0.40 171.69
  1.00   0.50   0.60 198.41
  1.00   0.50   0.80 202.70
  1.25   0.50   1.00 122.87
  1.25   0.50   0.20 140.87
  1.25   0.50   0.40 175.89
  1.25   0.50   0.60 185.37
  1.25   0.50   0.80 178.32
  0.75   0.50   1.00 154.44
  0.75   0.50   0.20 129.59
  0.75   0.50   0.40 149.08
  0.75   0.50   0.60 181.44
  0.75   0.50   0.80 226.30
  0.10   0.75   0.20 725.64
  0.10   0.75   0.40 443.98
  0.10   0.75   0.60 396.22
  0.10   0.75   0.80 366.79
  0.10   0.75   1.00 273.78
  0.30   0.75   0.20 560.15
  0.30   0.75   0.40 277.91
  0.30   0.75   0.60 258.28
  0.30   0.75   0.80 301.92
  0.30   0.75   1.00 206.29
  0.50   0.75   0.20 236.35
  0.50   0.75   0.40 170.68
  0.50   0.75   0.60 205.79
  0.50   0.75   0.80 256.01
  0.50   0.75   1.00 175.10
  1.50   0.75   0.20 118.42
  1.50   0.75   0.40 143.29
  1.50   0.75   0.60 155.51
  1.50   0.75   0.80 147.75
  1.50   0.75   1.00 108.18
  1.70   0.75   0.20 107.55
  1.70   0.75   0.40 133.92
  1.70   0.75   0.60 137.16
  1.70   0.75   0.80 137.72
  1.70   0.75   1.00  95.55
  1.90   0.75   0.20  97.07
  1.90   0.75   0.40 100.01
  1.90   0.75   0.60  99.32
  1.90   0.75   0.80  88.11
  1.90   0.75   1.00  79.27
  1.00   0.75   1.00 156.03
  1.00   0.75   0.20 144.68
  1.00   0.75   0.40 176.47
  1.00   0.75   0.60 212.35
  1.00   0.75   0.80 214.50
  1.25   0.75   1.00 124.42
  1.25   0.75   0.20 132.33
  1.25   0.75   0.40 166.68
  1.25   0.75   0.60 194.72
  1.25   0.75   0.80 185.02
  0.75   0.75   1.00 160.88
  0.75   0.75   0.20 134.31
  0.75   0.75   0.40 150.15
  0.75   0.75   0.60 179.52
  0.75   0.75   0.80 234.88
  1.00   1.00   1.00 123.30
  1.00   1.00   0.20 135.88
  1.00   1.00   0.40 181.96
  1.00   1.00   0.60 199.49
  1.00   1.00   0.80 223.08
  1.25   1.00   1.00 115.46
  1.25   1.00   0.20 110.99
  1.25   1.00   0.40 173.75
  1.25   1.00   0.60 182.68
  1.25   1.00   0.80 173.41
  0.75   1.00   1.00 143.72
  0.75   1.00   0.20 136.80
  0.75   1.00   0.40 151.22
  0.75   1.00   0.60 188.29
  0.75   1.00   0.80 222.01
  1.00   1.25   1.00 132.10
  1.00   1.25   0.20 139.61
  1.00   1.25   0.40 215.72
  1.00   1.25   0.60 216.65
  1.00   1.25   0.80 231.66
  1.25   1.25   1.00 114.77
  1.25   1.25   0.20 116.32
  1.25   1.25   0.40 164.89
  1.25   1.25   0.60 187.63
  1.25   1.25   0.80 202.38
  0.75   1.25   1.00 158.73
  0.75   1.25   0.20 164.05
  0.75   1.25   0.40 174.82
  0.75   1.25   0.60 199.01
  0.75   1.25   0.80 231.66
  0.10   1.50   0.20 865.52
  0.10   1.50   0.40 624.18
  0.10   1.50   0.60 512.58
  0.10   1.50   0.80 440.82
  0.10   1.50   1.00 255.46
  0.30   1.50   0.20 664.61
  0.30   1.50   0.40 355.82
  0.30   1.50   0.60 320.59
  0.30   1.50   0.80 359.05
  0.30   1.50   1.00 227.10
  0.50   1.50   0.20 293.29
  0.50   1.50   0.40 223.40
  0.50   1.50   0.60 241.45
  0.50   1.50   0.80 272.31
  0.50   1.50   1.00 197.24
  1.50   1.50   0.20 106.68
  1.50   1.50   0.40 126.95
  1.50   1.50   0.60 171.61
  1.50   1.50   0.80 162.97
  1.50   1.50   1.00 109.40
  1.70   1.50   0.20  90.94
  1.70   1.50   0.40 108.36
  1.70   1.50   0.60 129.18
  1.70   1.50   0.80 127.79
  1.70   1.50   1.00  99.11
  1.90   1.50   0.20  76.65
  1.90   1.50   0.40  89.83
  1.90   1.50   0.60  90.70
  1.90   1.50   0.80  89.12
  1.90   1.50   1.00  79.71
  1.00   1.50   1.00 157.51
  1.00   1.50   0.20 164.35
  1.00   1.50   0.40 248.37
  1.00   1.50   0.60 234.88
  1.00   1.50   0.80 235.95
  1.25   1.50   1.00 131.42
  1.25   1.50   0.20 144.07
  1.25   1.50   0.40 187.69
  1.25   1.50   0.60 212.33
  1.25   1.50   0.80 241.08
  0.75   1.50   1.00 188.76
  0.75   1.50   0.20 212.11
  0.75   1.50   0.40 210.21
  0.75   1.50   0.60 215.26
  0.75   1.50   0.80 240.24
  1.00   1.75   1.00 179.96
  1.00   1.75   0.20 200.54
  1.00   1.75   0.40 283.39
  1.00   1.75   0.60 263.83
  1.00   1.75   0.80 313.17
  1.25   1.75   1.00 150.19
  1.25   1.75   0.20 157.94
  1.25   1.75   0.40 226.50
  1.25   1.75   0.60 268.91
  1.25   1.75   0.80 290.21
  0.75   1.75   1.00 195.19
  0.75   1.75   0.20 205.14
  0.75   1.75   0.40 244.53
  0.75   1.75   0.60 276.58
  0.75   1.75   0.80 313.17
  1.00   2.00   1.00 203.68
  1.00   2.00   0.20 213.59
  1.00   2.00   0.40 293.64
  1.00   2.00   0.60 351.78
  1.00   2.00   0.80 360.36
  1.25   2.00   1.00 180.02
  1.25   2.00   0.20 188.89
  1.25   2.00   0.40 248.82
  1.25   2.00   0.60 285.36
  1.25   2.00   0.80 309.96
  0.75   2.00   1.00 246.68
  0.75   2.00   0.20 221.45
  0.75   2.00   0.40 265.98
  0.75   2.00   0.60 308.58
  0.75   2.00   0.80 380.74
  0.10   2.15   0.20 945.44
  0.10   2.15   0.40 718.01
  0.10   2.15   0.60 625.15
  0.10   2.15   0.80 605.26
  0.10   2.15   1.00 384.37
  0.30   2.15   0.20 821.96
  0.30   2.15   0.40 487.34
  0.30   2.15   0.60 469.46
  0.30   2.15   0.80 504.15
  0.30   2.15   1.00 305.53
  0.50   2.15   0.20 435.14
  0.50   2.15   0.40 318.41
  0.50   2.15   0.60 372.62
  0.50   2.15   0.80 461.60
  0.50   2.15   1.00 280.41
  0.75   2.15   0.20 223.57
  0.75   2.15   0.40 266.89
  0.75   2.15   0.60 345.01
  0.75   2.15   0.80 414.04
  0.75   2.15   1.00 239.18
  1.00   2.15   0.20 208.64
  1.00   2.15   0.40 283.14
  1.00   2.15   0.60 322.63
  1.00   2.15   0.80 353.42
  1.00   2.15   1.00 203.46
  1.25   2.15   0.20 198.63
  1.25   2.15   0.40 270.57
  1.25   2.15   0.60 295.19
  1.25   2.15   0.80 293.40
  1.25   2.15   1.00 177.89
  1.50   2.15   0.20 169.71
  1.50   2.15   0.40 241.47
  1.50   2.15   0.60 243.20
  1.50   2.15   0.80 232.84
  1.50   2.15   1.00 150.51
  1.70   2.15   0.20 152.90
  1.70   2.15   0.40 175.94
  1.70   2.15   0.60 172.37
  1.70   2.15   0.80 179.83
  1.70   2.15   1.00 133.79
  1.90   2.15   0.20 123.91
  1.90   2.15   0.40 144.52
  1.90   2.15   0.60 152.63
  1.90   2.15   0.80 141.28
  1.90   2.15   1.00 115.96
  1.00   2.25   1.00 205.34
  1.00   2.25   0.20 260.54
  1.00   2.25   0.40 262.38
  1.00   2.25   0.60 287.43
  1.00   2.25   0.80 368.94
  1.25   2.25   1.00 168.43
  1.25   2.25   0.20 221.97
  1.25   2.25   0.40 274.73
  1.25   2.25   0.60 306.64
  1.25   2.25   0.80 275.11
  0.75   2.25   1.00 242.38
  0.75   2.25   0.20 206.08
  0.75   2.25   0.40 242.38
  0.75   2.25   0.60 339.09
  0.75   2.25   0.80 429.00
  1.00   2.50   1.00 184.69
  1.00   2.50   0.20 213.39
  1.00   2.50   0.40 208.74
  1.00   2.50   0.60 249.89
  1.00   2.50   0.80 275.63
  1.25   2.50   1.00 143.18
  1.25   2.50   0.20 164.34
  1.25   2.50   0.40 234.88
  1.25   2.50   0.60 213.33
  1.25   2.50   0.80 183.18
  0.75   2.50   1.00 220.94
  0.75   2.50   0.20 186.82
  0.75   2.50   0.40 225.22
  0.75   2.50   0.60 239.82
  0.75   2.50   0.80 329.26
  0.10   2.87   0.20 578.34
  0.10   2.87   0.40 457.98
  0.10   2.87   0.60 424.69
  0.10   2.87   0.80 370.58
  0.10   2.87   1.00 334.43
  0.30   2.87   0.20 519.41
  0.30   2.87   0.40 351.13
  0.30   2.87   0.60 317.12
  0.30   2.87   0.80 252.94
  0.30   2.87   1.00 258.16
  0.50   2.87   0.20 378.74
  0.50   2.87   0.40 213.65
  0.50   2.87   0.60 178.66
  0.50   2.87   0.80 178.25
  0.50   2.87   1.00 171.68
  0.75   2.87   0.20 141.63
  0.75   2.87   0.40 118.40
  0.75   2.87   0.60 106.24
  0.75   2.87   0.80 114.87
  0.75   2.87   1.00 124.33
  1.00   2.87   0.20 106.54
  1.00   2.87   0.40 101.11
  1.00   2.87   0.60  94.33
  1.00   2.87   0.80 104.30
  1.00   2.87   1.00 104.30
  1.25   2.87   0.20  98.80
  1.25   2.87   0.40  83.30
  1.25   2.87   0.60  88.04
  1.25   2.87   0.80 100.40
  1.25   2.87   1.00  89.77
  1.50   2.87   0.20  89.63
  1.50   2.87   0.40  90.34
  1.50   2.87   0.60  82.72
  1.50   2.87   0.80  83.87
  1.50   2.87   1.00  86.00
  1.70   2.87   0.20  92.32
  1.70   2.87   0.40  84.75
  1.70   2.87   0.60  94.19
  1.70   2.87   0.80  87.35
  1.70   2.87   1.00  87.30
  1.90   2.87   0.20  88.47
  1.90   2.87   0.40  90.75
  1.90   2.87   0.60  79.88
  1.90   2.87   0.80  85.17
  1.90   2.87   1.00  65.30
  1.00   3.00   1.00 122.42
  1.00   3.00   0.20 103.19
  1.00   3.00   0.40  91.71
  1.00   3.00   0.60 105.53
  1.00   3.00   0.80 119.05
  1.25   3.00   1.00  64.77
  1.25   3.00   0.20  70.75
  1.25   3.00   0.40  89.23
  1.25   3.00   0.60  91.98
  1.25   3.00   0.80  63.88
  0.75   3.00   1.00 121.66
  0.75   3.00   0.20 104.17
  0.75   3.00   0.40 104.25
  0.75   3.00   0.60 112.86
  0.75   3.00   0.80 138.35
  0.10   3.50   0.20 199.42
  0.10   3.50   0.40 150.43
  0.10   3.50   0.60 174.52
  0.10   3.50   0.80 183.95
  0.10   3.50   1.00 191.66
  0.30   3.50   0.20 162.01
  0.30   3.50   0.40 112.57
  0.30   3.50   0.60  88.42
  0.30   3.50   0.80 116.33
  0.30   3.50   1.00 137.60
  0.50   3.50   0.20 115.07
  0.50   3.50   0.40  69.25
  0.50   3.50   0.60  60.75
  0.50   3.50   0.80  68.43
  0.50   3.50   1.00  82.48
  1.50   3.50   0.20  35.71
  1.50   3.50   0.40  33.10
  1.50   3.50   0.60  39.53
  1.50   3.50   0.80  38.37
